,teamWins1,teamWins2,teamWins3,teamWins4,teamLosses1,teamLosses2,teamLosses3,teamLosses4,teamStats00,teamStats10,teamStats20,teamStats30,teamStats01,teamStats11,teamStats21,teamStats31,teamStats02,teamStats12,teamStats22,teamStats32,teamStats03,teamStats13,teamStats23,teamStats33,teamStats04,teamStats14,teamStats24,teamStats34,teamStats05,teamStats15,teamStats25,teamStats35,teamStats06,teamStats16,teamStats26,teamStats36,teamStats07,teamStats17,teamStats27,teamStats37,teamStats08,teamStats18,teamStats28,teamStats38,teamStats09,teamStats19,teamStats29,teamStats39,choose_team,playerStats00,playerStats10,playerStats20,playerStats30,playerStats01,playerStats11,playerStats21,playerStats31,playerStats02,playerStats12,playerStats22,playerStats32,playerStats03,playerStats13,playerStats23,playerStats33,playerStats04,playerStats14,playerStats24,playerStats34,playerStats05,playerStats15,playerStats25,playerStats35,playerStats06,playerStats16,playerStats26,playerStats36,playerStats07,playerStats17,playerStats27,playerStats37,playerStats08,playerStats18,playerStats28,playerStats38,playerStats09,playerStats19,playerStats29,playerStats39,team_or_player,which_player,buy_item,money
0,0,0,0,0,0,0,0,0,36,32,29,38,41,35,32,40,33,34,34,33,31,35,35,35,39,34,35,37,35,36,33,41,33,39,34,34,35,35,39,33,32,35,33,38,35,36,37,34,0,5,11,9,9,10,8,9,7,13,9,6,5,11,7,9,6,5,9,14,15,6,6,6,14,11,3,10,6,10,9,4,4,14,10,10,4,11,6,7,9,0,1,0,10
1,0,0,0,0,0,0,0,0,41,32,36,38,36,33,32,36,31,37,33,34,36,36,31,31,39,39,34,38,32,33,35,33,32,32,36,31,42,33,31,37,40,32,35,36,30,38,33,35,0,10,11,11,8,14,5,7,12,5,10,10,8,8,12,12,8,13,7,10,9,10,7,9,7,6,9,5,11,11,9,16,6,11,12,5,12,10,5,8,12,0,1,0,10
2,0,0,0,0,0,0,0,0,28,33,32,37,30,38,37,36,38,36,35,35,37,34,37,30,30,34,37,33,34,31,34,32,34,35,33,33,34,33,31,36,35,31,35,36,34,30,35,35,0,7,8,8,9,6,3,9,7,5,7,9,6,9,5,7,7,11,8,6,12,6,9,10,8,9,11,5,7,9,13,9,8,16,6,7,9,8,5,11,8,0,1,0,10
3,0,0,0,0,0,0,0,0,33,35,35,33,34,33,31,37,39,33,30,34,33,35,32,37,34,34,36,34,41,38,36,32,34,33,38,36,35,34,35,36,39,36,35,30,27,34,39,32,0,4,9,7,10,7,8,9,4,11,9,9,6,4,7,6,8,11,9,7,6,11,5,11,10,6,13,5,16,9,13,6,12,18,13,9,9,3,7,6,7,0,1,0,10
4,0,0,0,0,0,0,0,0,38,31,38,35,38,30,35,37,32,32,39,35,32,31,36,34,33,29,38,36,34,41,30,34,37,38,31,36,37,38,30,35,34,31,31,35,34,38,34,36,0,4,7,8,15,9,6,11,11,12,6,10,11,6,5,6,13,11,8,7,9,8,11,7,6,8,10,10,9,7,8,11,4,13,5,11,13,9,10,9,10,0,1,0,10
5,0,0,0,0,0,0,0,0,36,34,36,38,35,33,31,34,35,37,42,37,34,33,33,27,36,36,35,30,38,36,31,36,36,40,30,30,33,33,37,36,34,36,32,41,39,31,29,35,0,12,13,6,6,5,12,11,9,7,6,7,6,8,15,6,9,5,7,16,8,13,9,7,7,11,8,8,11,7,8,12,5,10,4,5,7,10,6,7,9,0,1,0,10
6,0,0,0,0,0,0,0,0,33,31,38,32,37,33,35,37,35,34,35,36,34,39,33,35,32,38,34,36,36,33,37,36,33,31,26,32,36,32,35,30,35,31,34,40,33,33,35,30,0,12,7,11,6,5,12,12,5,5,10,12,7,10,8,9,9,10,10,5,6,12,8,13,9,9,9,13,3,8,7,12,12,9,6,4,4,4,6,10,8,0,1,0,10
7,0,0,0,0,0,0,0,0,35,36,35,36,32,35,32,30,30,37,37,32,37,30,33,33,38,37,38,37,32,35,36,34,32,38,32,40,35,34,37,33,33,31,31,36,37,32,33,36,0,6,7,10,3,7,5,10,8,4,10,7,5,13,7,8,13,9,5,13,13,12,5,13,8,4,9,11,7,5,10,8,9,9,9,7,5,6,12,8,8,0,1,0,10
8,0,0,0,0,0,0,0,0,30,29,37,34,37,36,30,33,34,36,38,33,35,32,26,34,36,38,32,36,33,34,31,34,38,32,34,30,32,35,40,32,29,35,34,32,33,31,33,32,0,13,8,4,13,8,6,12,13,11,4,10,13,13,8,11,6,9,14,11,6,14,8,5,3,4,11,6,9,5,13,10,10,5,9,11,3,18,7,10,4,0,1,0,10
9,0,0,0,0,0,0,0,0,33,31,35,37,34,32,34,34,34,39,35,39,32,32,36,33,31,35,33,34,36,34,35,36,39,32,35,32,39,34,37,34,42,34,35,41,29,36,33,39,0,7,9,7,9,7,10,9,8,7,6,6,6,5,4,11,7,6,4,7,6,12,10,6,14,7,13,9,9,11,11,9,10,8,8,5,10,11,12,8,4,0,1,0,10
