,teamWins1,teamWins2,teamWins3,teamWins4,teamLosses1,teamLosses2,teamLosses3,teamLosses4,teamStats00,teamStats10,teamStats20,teamStats30,teamStats01,teamStats11,teamStats21,teamStats31,teamStats02,teamStats12,teamStats22,teamStats32,teamStats03,teamStats13,teamStats23,teamStats33,teamStats04,teamStats14,teamStats24,teamStats34,teamStats05,teamStats15,teamStats25,teamStats35,teamStats06,teamStats16,teamStats26,teamStats36,teamStats07,teamStats17,teamStats27,teamStats37,teamStats08,teamStats18,teamStats28,teamStats38,teamStats09,teamStats19,teamStats29,teamStats39,choose_team,playerStats00,playerStats10,playerStats20,playerStats30,playerStats01,playerStats11,playerStats21,playerStats31,playerStats02,playerStats12,playerStats22,playerStats32,playerStats03,playerStats13,playerStats23,playerStats33,playerStats04,playerStats14,playerStats24,playerStats34,playerStats05,playerStats15,playerStats25,playerStats35,playerStats06,playerStats16,playerStats26,playerStats36,playerStats07,playerStats17,playerStats27,playerStats37,playerStats08,playerStats18,playerStats28,playerStats38,playerStats09,playerStats19,playerStats29,playerStats39,team_or_player,which_player,buy_item,money
0,0,0,0,0,0,0,0,0,30,35,32,34,35,42,37,33,26,38,35,36,37,37,37,41,33,38,38,38,33,39,37,29,28,34,36,32,33,35,33,36,37,33,40,31,32,32,40,41,2,14,5,8,4,11,10,11,11,10,5,9,8,9,9,10,9,8,10,9,7,8,12,10,8,5,7,10,10,10,12,3,9,10,7,6,11,11,12,14,7,1,1,6,9
1,0,0,0,0,0,0,0,0,32,35,35,41,35,35,36,29,32,37,32,39,31,31,43,31,31,34,43,32,31,36,36,29,32,34,35,34,37,37,31,41,31,35,30,37,34,32,32,39,2,5,11,10,11,13,11,12,6,9,5,9,7,7,13,13,12,10,12,11,13,7,11,7,7,9,7,7,7,3,8,13,9,11,5,8,13,11,5,9,3,1,1,6,10
2,0,0,0,0,0,0,0,0,35,36,33,37,35,36,34,30,33,33,36,36,35,35,36,35,37,36,37,35,37,33,33,30,36,33,32,37,36,33,39,35,37,35,31,34,35,33,34,39,2,8,6,7,14,11,13,3,12,6,4,10,9,11,10,13,7,18,8,12,12,8,6,11,10,10,15,11,6,9,13,12,15,7,10,8,4,11,8,8,13,1,1,6,10
3,0,0,0,0,0,0,0,0,37,37,36,36,34,33,37,39,36,27,38,32,39,34,35,37,34,33,34,38,35,36,36,34,34,30,39,36,37,31,35,31,35,33,34,40,33,30,39,36,2,11,11,14,6,8,13,11,10,7,9,8,9,5,8,6,3,11,5,12,8,10,14,11,12,15,6,6,17,5,13,7,9,10,6,3,9,7,8,12,6,1,1,6,10
4,0,0,0,0,0,0,0,0,33,36,33,37,32,30,36,36,33,35,36,33,38,31,35,30,31,39,35,36,38,35,39,40,32,38,34,35,39,34,41,30,34,37,37,32,32,34,32,35,2,7,12,6,9,15,12,13,7,6,7,10,8,12,10,7,12,7,12,3,5,10,4,10,14,5,7,11,12,11,11,14,15,13,9,8,5,6,10,8,7,1,1,6,10
5,0,0,0,0,0,0,0,0,35,33,32,34,37,32,37,38,41,36,35,29,38,34,38,36,39,31,32,32,31,32,34,38,38,29,37,34,36,38,31,35,36,32,34,41,36,32,40,37,2,6,7,9,11,10,10,7,7,10,9,8,13,9,11,13,6,4,7,4,7,13,8,6,10,11,8,14,6,5,10,4,6,9,10,4,7,11,8,12,12,1,1,6,10
6,0,0,0,0,0,0,0,0,33,34,34,40,30,32,37,34,36,33,32,30,30,35,35,36,37,31,33,37,40,33,34,36,35,35,34,37,35,38,34,34,34,34,31,33,35,35,29,34,2,8,10,7,13,12,13,8,10,8,10,4,7,12,4,12,13,6,12,5,13,7,4,11,10,11,14,8,9,10,7,10,7,10,9,7,9,8,6,5,7,1,1,6,10
7,0,0,0,0,0,0,0,0,34,33,33,38,34,38,31,35,37,36,39,32,35,39,36,30,39,37,36,38,32,38,31,36,33,40,34,37,34,39,34,38,35,33,36,38,33,36,37,34,2,5,12,11,7,10,14,8,9,7,10,6,8,7,10,8,9,9,11,8,7,8,5,8,5,7,13,14,3,7,6,8,13,8,5,8,10,11,12,12,12,1,1,6,10
8,0,0,0,0,0,0,0,0,33,37,35,35,37,36,28,35,37,38,36,40,38,36,34,34,33,35,36,35,36,38,38,32,36,34,32,37,33,39,37,37,34,33,35,39,35,40,38,29,2,8,11,9,8,13,6,7,9,14,9,14,8,12,7,8,10,11,10,9,10,11,13,9,8,7,6,10,11,14,9,9,15,7,9,8,6,12,9,13,12,1,1,6,10
9,0,0,0,0,0,0,0,0,33,39,33,34,36,32,34,29,32,32,36,33,36,31,33,35,32,36,37,39,30,36,40,34,39,37,37,28,37,32,38,32,35,31,35,31,37,38,38,36,2,8,7,6,5,6,9,6,9,14,9,7,8,8,10,8,7,12,12,8,12,12,4,7,7,7,8,8,9,4,7,7,7,4,8,5,5,10,10,8,9,1,1,6,10
